Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,206,409,223,23,4,0
2019,243,361,238,15,8,0
2020,193,291,229,6,1,0
2021,250,513,259,7,4,0
2022,277,595,239,34,6,0
2023,281,522,228,25,1,2
